,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,function_check,boolean_check,if_else_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
219,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241","320129, 320224, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241",2024-01-27 23:40:02 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,Coding along with the instructor on my device,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,confident ,,I completely understand,I completely understand,I completely understand,the wifi in the computer science class is not good so the websites lag,1010093275.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,confident ,0.0,3.0
220,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-01-27 23:39:48 UTC,I did not attend any lectures this week,"The lectures are not an effective learning tool for me,I was working on assignments and/or projects for another course,The lecture room is not conducive to learning",,,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0109 (Online)\, Tuesday\, 6 - 8 pm",Less than 2 hour,No,I am up-to-date,ok,,I somewhat understand,I do not understand,I somewhat understand,,1009896141.0,LEC0103,TUT0108,PRA0108,Materials,False,False,False,False,ok,1.4,0.0
221,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320253, 320315, 320129","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-01-27 23:39:27 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,Excited,,I completely understand,I completely understand,I completely understand,,1010458381.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,excited,1.4,2.0
222,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-01-27 23:38:14 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments for this course","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Anxious,Booleans,I somewhat understand,I somewhat understand,I somewhat understand,,1010667663.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,anxious,-1.0,3.0
223,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-27 23:33:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,4-8 hours,Yes,I am up-to-date,Going alright,-,I somewhat understand,I somewhat understand,I somewhat understand,-,1010016956.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,going alright,1.0,3.0
224,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-27 23:28:28 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",2-4 hours,Yes,I am up-to-date,Excited,letter-number representation,I completely understand,I completely understand,I completely understand,,1009120158.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,excited,1.4,2.0
225,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-01-27 23:15:17 UTC,I did not attend any lectures this week,I was studying for a term test for another course,,,I did not attend any tutorials this week,LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am up-to-date,managable,return in functions,I completely understand,I completely understand,I completely understand,,1010275131.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,managable,0.0,0.0
226,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-01-27 23:13:55 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was working on assignments for this course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,Good,Boolean,I completely understand,I somewhat understand,I completely understand,Instructors are very good at teaching ,1009998709.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,good,1.9,1.0
227,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-01-27 23:13:39 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Good,,I completely understand,I completely understand,I completely understand,,1009806097.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,2.0
228,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320270, 320129, 320307","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-01-27 23:10:46 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,apprehensive,Logical operators,I completely understand,I completely understand,I somewhat understand,Tutorial should have more student participation and breakout problems. We usually run out of time before we get to the practice problems.,1008854884.0,LEC0102,TUT0105,PRA0108,Chemical,False,LEC0102,False,True,apprehensive,0.0,3.0
229,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-01-27 23:09:37 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Excited,,I completely understand,I completely understand,I completely understand,,1010234792.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,excited,1.4,3.0
230,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-01-27 23:04:48 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Good,,I completely understand,I completely understand,I completely understand,"I’m not sure if this is the place to ask but I was looking through a past exam and the code was as follows:

andy = “randy”

andy [0] = “r”

print(andy)

the answer said error was produce which I did not understand because I thought that it was saying that the r in randy was assigned to r. However I came to the understanding that you cannot assign a character of a string to a value which is why it produces the error message. Is this true?",1010142105.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,1.0
231,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320276, 320239, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-27 22:58:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,A bit confused,Everything,I completely understand,I do not understand,I somewhat understand,,1010028541.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,a bit confused,-1.3,2.0
232,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0102-20241","320285, 320224, 320129","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0102-20241",2024-01-27 22:55:54 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,Yes,I am up-to-date,Intriguing,If else ,I completely understand,I completely understand,I completely understand,"It is useful as a supplementary learning material, sometimes the concept i got confused on the lecture is explained here",1009878269.0,LEC0101,TUT0102,PRA0102,Track-One,False,LEC0102,False,False,intriguing,0.0,3.0
233,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320285, 320111, 320168","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-01-27 22:49:21 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Minori (TUT0102\, Tuesday\, 3 - 4 pm)","LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not use or plan to use any recorded material this week","PRA0102\, Wednesday\, 1 - 3 pm,PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Confident,I would like to gain more practice differentiating between return and print statements between local and global scope.,I completely understand,I completely understand,I completely understand,,1009973370.0,LEC0101,TUT0102,PRA0101,Chemical,LEC0101,False,False,True,confident,2.2,3.0
234,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-01-27 22:40:43 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Other,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,meh,just process of writing more so ,I completely understand,I somewhat understand,I completely understand,,1010517424.0,LEC0101,TUT0102,PRA0102,Track-One,LEC0101,False,False,True,meh,-0.3,3.0
235,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320168, 320299, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-01-27 22:29:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments and/or projects for another course","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,complexer,boolean,I somewhat understand,I somewhat understand,I completely understand,"Everything is continuing at a fine pace

 ",1010173036.0,LEC0101,TUT0104,PRA0101,Chemical,LEC0101,False,False,True,complexer,0.0,3.0
236,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-27 22:26:04 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","The lectures are not an effective learning tool for me,The lecture times make them challenging to regularly attend,Other",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Confident,,I completely understand,I completely understand,I completely understand,,1010274926.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,confident,2.2,2.0
237,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-01-27 22:25:21 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Prepared,,I completely understand,I completely understand,I completely understand,The online lectures by Professor Beck were done well. In the future I feel that it might be more interesting to let students pitch ideas to solve the design problems instead of having the professor solve it immediately.,1010125703.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,prepared,0.9,3.0
238,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0107-20241","320149, 320224, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0107-20241",2024-01-27 22:20:57 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,capable,,I somewhat understand,I somewhat understand,I completely understand,i like all the resources available ,1010007911.0,LEC0103,TUT0107,PRA0102,Industrial,False,False,LEC0103,True,capable,1.6,3.0
239,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-01-27 22:11:43 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments for this course","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Cool,,I somewhat understand,I completely understand,I completely understand,,1009800422.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,cool,1.3,3.0
240,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241","320328, 320231, 320111","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241",2024-01-27 22:04:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,great,Return,I completely understand,I completely understand,I completely understand,It was great,1009909592.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,great,3.1,3.0
241,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-01-27 22:01:15 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",I was working on assignments for this course,,"Trying to solve the breakout problems,I was working on assignments for this course","Katia (TUT0108\, Tuesday\, 9 - 10 am)",,"PRA0108\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am up-to-date,,,I completely understand,I completely understand,I completely understand,,1009825192.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,nan,0.0,3.0
242,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-01-27 21:49:20 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Confident,,I completely understand,I completely understand,I completely understand,,1010143541.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,confident,2.2,2.0
243,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-27 21:37:23 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",,I prefer the teaching style in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",4-8 hours,No,I am up-to-date,Rushed,Booleans,I completely understand,I completely understand,I completely understand,,1009937909.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,LEC0103,True,rushed,0.0,3.0
244,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-27 21:34:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,good,i do not have any topics to list.,I completely understand,I completely understand,I completely understand,the course is well organized,1010336904.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,good,1.9,3.0
245,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320111, 320224, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-01-27 21:30:17 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Happy,functions,I somewhat understand,I somewhat understand,I completely understand,,1010160317.0,LEC0101,TUT0102,PRA0102,Track-One,LEC0101,False,False,True,happy,2.7,3.0
246,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-01-27 21:27:35 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am starting to fall behind,Behind,"Booleans: how to combine them and what would the output be? What is the order of 'operations'?

If/else statements: when should you use an if else statement? How do you use one effectively in your code?",I completely understand,I somewhat understand,I somewhat understand,,1009798998.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,behind,0.0,2.0
247,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-01-27 21:26:34 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am up-to-date,I feel great ,I am not struggling ,I completely understand,I completely understand,I completely understand,No,1010184408.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,i feel great ,0.0,3.0
