,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,module_check,functions_check,returns_print_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
245,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-20 20:15:39 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,,,I somewhat understand,I somewhat understand,I completely understand,,1009999735.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,nan,0.0,2.0
246,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-01-20 20:07:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0101\, Thursday\, 10 - 12 pm",Less than 2 hour,Yes,I am up-to-date,Fun,,I completely understand,I completely understand,I completely understand,,1010046781.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,fun,2.3,3.0
247,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241","320315, 320253, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241",2024-01-20 19:59:28 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",The lectures are not an effective learning tool for me,,"Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,Interested,functions,I completely understand,I do not understand,I somewhat understand,,1010423579.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,interested,1.7,2.0
248,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-20 19:58:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,Yes,I am starting to fall behind,alright ,-,I somewhat understand,I somewhat understand,I do not understand,,1010016956.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,alright ,0.0,3.0
249,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241","320168, 320276, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241",2024-01-20 19:53:11 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,chilling,,I completely understand,I completely understand,I somewhat understand,,1009804017.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,chilling,-0.1,3.0
250,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-01-20 19:52:49 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,Satisified,"N/A, although Lab 1 seems to have incorrect instructions as the instructions given do not formulate the intended image",I completely understand,I completely understand,I completely understand,,1010301326.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,satisified,0.0,1.0
251,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-20 19:51:11 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,relaxed,,I completely understand,I completely understand,I completely understand,,1010263812.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,relaxed,2.2,3.0
252,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-01-20 19:50:06 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Excited!,I am a little confused about the docstrings.,I completely understand,I completely understand,I completely understand,Professor Beck gave vivid examples when teaching the course which was helpful for my understanding.,1009919313.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,excited ,1.4,3.0
253,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-20 19:36:27 UTC,,,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities,I was working on assignments for this course,I was working on assignments and/or projects for another course","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,No,I am up-to-date,Achomplished,At  the beginning of the week I struggled with jupyter notebooks but I figured that out.,I somewhat understand,I completely understand,I somewhat understand,I wish the lectures were more engaging.,1009992661.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,LEC0102,LEC0103,True,achomplished,0.0,0.0
254,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-01-20 19:33:27 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments and/or projects for another course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,No,I am up-to-date,Interesting,defining functions and how Python reads code when functions are called.,I somewhat understand,I somewhat understand,I somewhat understand,,1010053718.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,interesting,1.7,1.0
255,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-20 19:33:01 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,Confident,pycharm usage,I completely understand,I somewhat understand,I somewhat understand,,1010090508.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,confident,2.2,2.0
256,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241","320315, 320253, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241",2024-01-20 19:21:44 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",2-4 hours,Yes,I am up-to-date,Aware of what i have to do,,I somewhat understand,I somewhat understand,I completely understand,We need more breakout sessions as the lectures feel boring at times with too much talking and little active coding sessions. I preferred the last lecture this week as we got to code alongside our instructor. Else i usually fall asleep during lectures.,1009640621.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,aware of what i have to do,0.0,3.0
257,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241","320111, 320276, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241",2024-01-20 19:19:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Recap,,I completely understand,I completely understand,I completely understand,,1010020488.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,recap,0.0,3.0
258,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-20 19:14:13 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,interested ,,I completely understand,I somewhat understand,I completely understand,,1010426772.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,interested ,0.0,3.0
259,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-01-20 19:09:42 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Coding along with the instructor on my device,I was working on assignments and/or projects for another course","Katia (TUT0108\, Tuesday\, 9 - 10 am)","LEC0103 - Beck Lecture Recording,TUT0109 - Katia Tutorial Recording","PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,useful,none,I completely understand,I completely understand,I completely understand,none,1009825192.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,useful,1.9,3.0
260,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-01-20 19:03:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,good,none,I completely understand,I completely understand,I completely understand,none,1009961677.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,3.0
261,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320253, 320315, 320129","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-01-20 19:03:06 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Optimistic,No topics of confusion,I completely understand,I completely understand,I completely understand,No other feedback,1010243014.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,optimistic,1.3,3.0
262,"APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241","320299, 320111, 320239","APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241",2024-01-20 19:02:25 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,alright,I don't really get how to optimize code.,I somewhat understand,I somewhat understand,I somewhat understand,I like the way the course is being taught. It is explained very well.,1010086675.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,alright,1.0,2.0
263,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241","320111, 320328, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241",2024-01-20 18:51:23 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,good,none ,I completely understand,I somewhat understand,I somewhat understand,nope,1010126123.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,3.0
264,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-20 18:40:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","I was studying for a term test for this course,Other",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Great,,I completely understand,I completely understand,I completely understand,,1009897319.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,great,3.1,2.0
265,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0102-20241","320315, 320262, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0102-20241",2024-01-20 18:37:13 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",The lecture times make them challenging to regularly attend,"I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am starting to fall behind,Okay,Defining functions ,I completely understand,I somewhat understand,I somewhat understand,,1009837349.0,LEC0101,TUT0103,PRA0101,Civil,LEC0101,LEC0102,False,True,okay,0.9,3.0
266,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-01-20 18:35:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)","The lecture times make them challenging to regularly attend,Other",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,Great,,I completely understand,I completely understand,I completely understand,,1009949111.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,great,3.1,1.0
267,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320253, 320315, 320129","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-01-20 18:28:25 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,Confident,,I completely understand,I completely understand,I completely understand,I am enjoying the pace of the course,1010458381.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,confident,2.2,3.0
268,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-01-20 18:24:02 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I am up-to-date,Curious,,I do not understand,I completely understand,I completely understand,,1009867994.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,curious,1.3,3.0
269,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320111, 320224, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-01-20 18:23:52 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Optimistic,"Just deciding on what steps  are the correct steps to take when solving a problem, and why certain steps are less optimal than others",I completely understand,I somewhat understand,I somewhat understand,,1010160317.0,LEC0101,TUT0102,PRA0102,Track-One,LEC0101,False,False,True,optimistic,1.3,3.0
270,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241","320328, 320149, 320270","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241",2024-01-20 18:23:30 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,Coding along with the instructor on my device,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Fine,N.A.,I completely understand,I completely understand,I somewhat understand,N.A,1010064751.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,fine,0.8,3.0
271,"APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241","320307, 320246, 320129","APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241",2024-01-20 18:18:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",The lecture times make them challenging to regularly attend,"I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,prepared,none,I completely understand,I completely understand,I completely understand,,1009887339.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,LEC0102,False,True,prepared,0.9,4.0
272,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-01-20 18:13:01 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I am up-to-date,good,docstring,I somewhat understand,I somewhat understand,I completely understand,,1010288216.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,good,1.9,3.0
273,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-01-20 17:51:16 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am up-to-date,Accessible,"The counting direction of degrees (clockwise or counterclockwise, where is 0 degree and where is 180 degrees, etc).",I somewhat understand,I somewhat understand,I somewhat understand,Give more specific examples for new topics.,1010118668.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,accessible,0.0,2.0
