,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,midterm_prepare,midterm_surprise,string_methods_check,string_indexing_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
180,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-02-11 02:57:55 UTC,I did not attend any lectures this week,"The lectures are not an effective learning tool for me,Other","I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s),Other",Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,Confident.,Slicing,Past midterms,No,I completely understand,I completely understand,No feedback ,1010331570.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,confident ,2.2,0.0
181,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-02-11 02:53:54 UTC,I did not attend any lectures this week,"The lectures are not an effective learning tool for me,The lecture room is not conducive to learning",Other,Distracted with non-academic activities,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,easy,,I did not prepare for term test 1,No,I completely understand,I completely understand,,1010202576.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,easy,1.9,0.0
182,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-11 02:49:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Progress, - All content during Lecture 5.3,"Past papers, the textbook, and weekly practice problems","The last question about the fibonacci sequence was particularly surprising.

 

I also found that a lot of the past papers for this course were noticeably easier than our term test, which came as a surprise as well. ",I completely understand,I completely understand,,1009985321.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,progress,1.8,3.0
183,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-02-11 02:46:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Good,,I tried past midterms and went over jupyter notes,The Fibonacci sequence was hard,I somewhat understand,I somewhat understand,,1009943420.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good,1.9,3.0
184,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-02-11 02:36:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,,nice,,practice poblems,no,I somewhat understand,I somewhat understand,none,1010257437.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nice,1.8,3.0
185,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241","320111, 320276, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241",2024-02-11 02:33:27 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)","I was studying for a term test for this course,Other",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)","LEC0101 - Kinsella & Goodfellow Lecture Recording,LEC0103 - Beck Lecture Recording",I did not attend any lab/practical sessions this week,No,I am starting to fall behind,This week's material was a lot harder than the previous weeks. ,"Files

Strings not that much",I did all the practice problems and the midterms. The practice problems were the most helpful. ,"The conceptual part was very difficult. In addition, a friend of mine told me that the online tutorial they spoke about Fibonacci sequence that came on the midterm. yet my tutorial didn't speak about it which is not really that fair.",I do not understand,I do not understand,no thank you,1010324347.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,this week s material was a lot harder than the previous weeks  ,0.0,1.0
186,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-02-11 02:31:21 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,no,no,no,ord and chr,I completely understand,I completely understand,none,1009909789.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,no,-1.2,3.0
187,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-02-11 02:28:04 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Coding along with the instructor on my device,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,,,I used previous exams.,The fibonacci sequence.,I somewhat understand,I somewhat understand,,1009825192.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,nan,0.0,3.0
188,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-02-11 02:11:06 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)","LEC0103 - Beck Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording",I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Unprepared,"objects, methods, specific notation on how to separate lines of strings","I attended the APS106 guided term test review session with Katia on Thursday evening and also went to the lecture of Friday where Professor Beck went over some practice problems. I also went to my Tutorial scheduled before the exam (Tuesday morning). Personally, I think that the tutorial on Tuesday was the most helpful because it helped reinforce my knowledge of while loops and clarify some questions about if/if versus if/elif statements. ",There were not any surprising material on the midterm but it was a little bit confusing trying to change arithmetic mathematics into a code. It was definitely more difficult than the labs that we have been assigned (the process of thinking on how to approach the problem).,I do not understand,I somewhat understand,I think that it might be beneficial to add some more arithmetic questions into the labs that we are given so that it can help us practice how to think about a question through a programming mindset instead of a mathematic mindset. ,1009798998.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,unprepared,0.0,2.0
189,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241","320111, 320285, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241",2024-02-11 02:07:15 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","The lectures are not an effective learning tool for me,I was studying for a term test for another course,The lecture times make them challenging to regularly attend",Other,I was studying for a term test for another course,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Confused,Classes and objects,"Practice problems, past exams, tutorial slides and jupyter notebook.","Yes, the question about Fibonacci series.",I somewhat understand,I somewhat understand,,1010475807.0,LEC0101,TUT0102,PRA0104,Civil,LEC0101,False,False,True,confused,-1.3,2.0
190,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-02-11 02:00:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)","I was working on assignments for this course,I was working on assignments and/or projects for another course",I prefer the room of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Yes,I am up-to-date,Prepared,,Used many past exams and worked on them with friends. Also watched 6+ hour long videos on python on youtube. They were both equally helpful.,"Difficulty was higher than past years exams, but still doable.",I completely understand,I somewhat understand,,1010104744.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,LEC0102,False,True,prepared,0.9,2.0
191,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-11 01:57:49 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I have fallen behind,Tired.,,"Practice problems, past exams, and reviewing lecture slides. I thought the past exams were the most helpful.","I don't think the test was fair as the written sections mainly tested one's understanding of Fibonacci sequences, not coding. I don't think I had the opportunity to show what I know about coding as the questions were heavily logic-based. ",I somewhat understand,I do not understand,I think the lecture pace is beginning to ramp up so slowing down would help a lot of people understand the content better. ,1009800422.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,tired ,-1.9,2.0
192,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0104-20241","320129, 320307, 320239","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0104-20241",2024-02-11 01:55:57 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Hard,writing by hands,Review video and past paper.,hard to understand sometimes.,I somewhat understand,I somewhat understand,none,1009888597.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,LEC0102,False,True,hard,-0.4,4.0
193,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-11 01:49:21 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was studying for a term test for this course,I was working on assignments for this course",Other,Other,"Katia (TUT0104\, Monday\, 10 - 11 am),Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,idkk,,It was very confusing the last part,question 4&5,I somewhat understand,I somewhat understand,N/a,1009961187.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,idkk,0.0,3.0
194,"APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241","320270, 320328, 320149","APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241",2024-02-11 01:44:24 UTC,I did not attend any lectures this week,"I was studying for a term test for this course,I was studying for a term test for another course",,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Okay,,"Practice exams, and just coding","No, but some of the instructions were unclear for the math formulas",I somewhat understand,I somewhat understand,,1009876984.0,LEC0103,TUT0108,PRA0108,Materials,False,False,False,False,okay,0.9,0.0
195,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241","320231, 320111, 320294","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241",2024-02-11 01:26:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,okay,,"Completed any practice problems that I hadn't finished yet, looked over slides, looked over Jupyter notebook and did term test 1 from 2023. I think Jupyter notebook and the practice problems were the most helpful.","I thought the term test relied more on logic than coding itself. Having to figure out the logic behind the Fibonacci sequence was the hardest part of the test in my opinion. Once that was figured out, coding the answer itself was not too difficult. ",I completely understand,I completely understand,,1010375470.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,okay,0.9,1.0
196,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-02-11 00:44:10 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0103 - Beck Lecture Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Yes,I am up-to-date,Hard,string operation,"Do the past exam, write the code",the form of this tes ( write a big function)t is little bit diffrent from the previous one ,I completely understand,I completely understand,This is getting hard for now.,1009847196.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,hard,-0.4,3.0
197,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241","320253, 320328, 320149","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241",2024-02-11 00:42:09 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,I was studying for a term test for another course,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0103 - Beck Lecture Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Yes,I am starting to fall behind,"Cool

 ","N/A

 

 ",Completed Jupyter notebook,the last question ,I somewhat understand,I somewhat understand,N/A.,1009851028.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,"cool

 ",0.0,3.0
198,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-02-11 00:41:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was studying for a term test for this course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,confused,String Indexing,"Past Midterms

Tutorial Questions was pretty useful",Nope,I somewhat understand,I somewhat understand,"I thought the Mentimeter helped to understand concepts taught in class

 ",1010316686.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,confused,-1.3,1.0
199,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-11 00:35:14 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,curious,none,I studied previous midterms and wrote down key notes per each lecture. I felt as though previous midterms helped me the most in preparing for the midterm.,No,I completely understand,I completely understand,none,1010477654.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,curious,1.3,3.0
200,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241","320129, 320307, 320246","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241",2024-02-11 00:34:14 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,I was studying for a term test for this course,I was studying for a term test for another course",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Nice,,I looked at old term tests and the slideshows of lectures.,"I thought that it was slightly harder than the previous exams, but nothing too out of the ordinary.",I somewhat understand,I somewhat understand,,1009904230.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,nice,1.8,3.0
201,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320111, 320224, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-02-11 00:32:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for another course,,"Following the lecture by looking at the content and listening to the instructor,Distracted with non-academic activities",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,O.K,,"Past term tests, the exam review jeopardy and the lecture slides. The jeopardy was the most effective I think.",The math aspect of the Fibonacci sequence and the taylor series,I somewhat understand,I somewhat understand,,1010160317.0,LEC0101,TUT0102,PRA0102,Track-One,LEC0101,False,False,True,o k,0.0,2.0
202,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-02-11 00:31:56 UTC,I did not attend any lectures this week,Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,Groovy ,Nada,Practice problems,All that math!!,I somewhat understand,I somewhat understand,Thanks!,1009830462.0,LEC0101,TUT0108,PRA0103,Mechanical,False,False,False,False,groovy ,0.0,0.0
203,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-11 00:29:23 UTC,I did not attend any lectures this week,"I was studying for a term test for this course,I was working on assignments and/or projects for another course",,,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,,Yes,I have fallen behind,Stressed,while and for loops ,I did the problem sets and past mid terms ,"It was really hard. Not even the coding, the math was way too advanced, and I couldn’t even show my coding abilities. Compared to the past mid terms I felt blindsided and horrible. I felt it was an unfair assessment, especially as coding is a challenge for me already, there was no need to make the hardest part of the test math.",I do not understand,I do not understand,,1009838393.0,LEC0101,TUT0103,PRA0103,Mechanical,False,False,False,False,stressed,-1.4,0.0
204,"APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320246, 320307, 320129","APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-02-10 23:55:12 UTC,I did not attend any lectures this week,I was studying for a term test for another course,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,good,string operations,"I studied past papers, they were the most helpful",no,I somewhat understand,I completely understand,nothing,1009903696.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,False,False,good,1.9,0.0
205,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-10 23:42:49 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,spicy,,past midterms only.,the fibonacci sequence question was harder to think about than I thought it was,I somewhat understand,I completely understand,,1010363740.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,spicy,0.0,2.0
206,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241","320111, 320328, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241",2024-02-10 23:41:56 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for this course,Other,Coding along with the instructor on my device,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I have fallen behind,behind,string methods,past exams,last question,I do not understand,I do not understand,,1010126123.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,behind,0.0,2.0
207,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-10 23:37:51 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Coding along with the instructor on my device,"Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,,No,I am up-to-date,,,I found that the past midterms and practice problems were helpful for practicing to write code. Preparation was mostly solving practice problems and timing myself on midterms to check pacing.,"The Term Test 1 was more difficult than I expected as it was around the same complexity as the 2022 midterm. I was also surprized that for the final written questions, it was not immediately clear how to compute the values for the Fibonacci sequence and Taylor series questions, so rough notes were definitely needed.  ",I completely understand,I completely understand,,1010102899.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,nan,0.0,3.0
208,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-02-10 23:32:50 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)","I was studying for a term test for this course,I was studying for a term test for another course",Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,interesting,none,"LEC0103

use lecture note","Nope

 ",I do not understand,I somewhat understand,None ,1010060425.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,interesting,1.7,2.0
