,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,video_materials,practice_problems,progress_check,comment_one_word,confused_topics,previous_exp,aps106_future_use,coding_future,python_setup,languages,variable_check,expression_check,operator_check,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
204,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-01-13 23:36:59 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,"Confident 

So far i have been able to keep up with the course and the content associated with it.","Overall i think there was a great explanation on all the topics, however, I don't understand what an application of the operator ""//="" so if you could go over an example of that it would be really helpful ",I can write some code but just the basics,4,Yes,Yes,"Python,Matlab,Javascript",I completely understand,I completely understand,I completely understand,1009807416.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,"confident 

so far i have been able to keep up with the course and the content associated with it ",0.0,3.0
205,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-01-13 23:26:57 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments and/or projects for another course",None,No,I am up-to-date,sleepy!,using anaconda navigator,I can write code at an intermediate level,5 (Always),Yes,Yes,"Python,Matlab",I completely understand,I completely understand,I completely understand,1010125384.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,sleepy ,0.0,3.0
206,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320111, 320224, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-01-13 23:18:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",,Yes,I am up-to-date,Excited,No such topics yet ,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab,C/C++",I completely understand,I completely understand,I completely understand,1009815121.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,excited,1.4,3.0
207,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-01-13 23:15:04 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I have fallen behind,new,installing pyhton and jupyter notebooks,I have never written a single line of computer code,4,Yes,No,Other,I somewhat understand,I somewhat understand,I somewhat understand,1010369272.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,new,0.0,3.0
208,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-01-13 22:54:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,excited,jupyter notebooks,I have never written a single line of computer code,4,Yes,Yes,,I somewhat understand,I somewhat understand,I somewhat understand,1010667663.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,excited,1.4,3.0
209,"APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241","320299, 320111, 320239","APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241",2024-01-13 22:51:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,nice,none,I can write some code but just the basics,5 (Always),Yes,Haven't tried,Matlab,I completely understand,I completely understand,I completely understand,1008916112.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,nice,1.8,3.0
210,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0105-20241","320129, 320270, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0105-20241",2024-01-13 22:49:41 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,No,I am up-to-date,unsure,"jupyter notebooks, python syntax",I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab,Java,Javascript",I somewhat understand,I somewhat understand,I completely understand,1008854884.0,LEC0102,TUT0105,PRA0108,Chemical,False,LEC0102,False,True,unsure,-1.0,3.0
211,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-01-13 22:48:46 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems,I was working on assignments for this course",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,Nice,variables,I have never written a single line of computer code,5 (Always),Not sure,Yes,Other,I completely understand,I completely understand,I completely understand,1009878045.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nice,1.8,3.0
212,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-01-13 22:48:35 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,Excited. ,I did not struggle with any of the topics. ,I can write code at an intermediate level,3,Yes,Yes,"Matlab,C/C++,Other",I completely understand,I completely understand,I completely understand,1009817030.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,excited  ,1.4,3.0
213,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-01-13 22:45:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am up-to-date,good,how to run a code with jupyter (not notebook).,I can write some code but just the basics,3,Not sure,Yes,"Python,Matlab,C/C++",I somewhat understand,I somewhat understand,I somewhat understand,1010411788.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good,1.9,3.0
214,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-01-13 22:40:51 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am up-to-date,Excited. ,No topics at the moment ,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab,C/C++,Java,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1010027999.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,excited  ,1.4,3.0
215,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-13 22:37:36 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT - Tutorial Recording",No,I am up-to-date,optimistic,pycharm instructions,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab",I completely understand,I somewhat understand,I somewhat understand,1008868101.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,optimistic,1.3,3.0
216,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241","320111, 320276, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241",2024-01-13 22:27:35 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,None,No,I am up-to-date,ready,not struggling yet.,I can write some code but just the basics,3,Not sure,Yes,"Python,Matlab",I completely understand,I completely understand,I completely understand,1010020488.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,ready,1.5,3.0
217,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-01-13 22:25:49 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,"I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am up-to-date,good,nothing is confusing right now,I have never written a single line of computer code,4,Not sure,Yes,Other,I somewhat understand,I somewhat understand,I somewhat understand,1010242934.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,LEC0103,True,good,1.9,4.0
218,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-13 22:25:36 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",,Yes,I am up-to-date,ready,downloading charm for macOS m2,I can write code at an intermediate level,5 (Always),Yes,No,"Matlab,Java,Javascript,HTML/CSS,Other",I completely understand,I completely understand,I completely understand,1010093275.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,ready,1.5,3.0
219,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-01-13 22:22:42 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,helpful,juptyer but im working on it,I can write some code but just the basics,3,Yes,Yes,Python,I completely understand,I completely understand,I completely understand,1010336904.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,helpful,1.8,3.0
220,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-13 22:17:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,Interested,remembering python coding language,I have never written a single line of computer code,3,Not sure,Yes,Matlab,I completely understand,I somewhat understand,I somewhat understand,1010281455.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,interested,1.7,3.0
221,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241","320328, 320231, 320111","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241",2024-01-13 22:15:46 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",None,No,I am up-to-date,Relieved,Haven’t had anything im really confused with.,I have never written a single line of computer code,3,No,Haven't tried,Other,I somewhat understand,I somewhat understand,I somewhat understand,1009868181.0,LEC0101,TUT0108,PRA0103,Mechanical,False,LEC0102,False,False,relieved,1.6,3.0
222,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-01-13 22:13:18 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,I was working on assignments and/or projects for another course,,No,I am up-to-date,slow,why we use pycharm,I consider myself an advanced coder,2,No,Yes,"Python,C/C++,Java,Other",I completely understand,I completely understand,I completely understand,1010202576.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,slow,0.0,3.0
223,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-01-13 22:12:44 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",None,Yes,I am up-to-date,Confident,none,I can write code at an intermediate level,4,Yes,Yes,"Python,Matlab",I completely understand,I completely understand,I completely understand,1010129941.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,confident,2.2,3.0
224,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-13 22:12:20 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,Excited,Jupyter Notebooks,I have never written a single line of computer code,5 (Always),Yes,Haven't tried,,I somewhat understand,I somewhat understand,I completely understand,,,,,,LEC0101,False,False,False,excited,1.4,3.0
225,"APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241","320307, 320246, 320129","APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241",2024-01-13 22:10:33 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments for this course,I was working on assignments and/or projects for another course",None,No,I am up-to-date,This week was a intro week. So far the material hasn't been very challenging for obvious reasons. I am eager to see how this will change as the next weeks go by. ,I did have some challenges with the anaconda download but it was simply some technical issues and I figured it all out.,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab,Java,Other",I completely understand,I somewhat understand,I somewhat understand,1009992661.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,this week was a intro week  so far the material hasn t been very challenging for obvious reasons  i am eager to see how this will change as the next weeks go by  ,2.1,3.0
226,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-01-13 22:09:26 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",None,Yes,I am starting to fall behind,worried,familiarizing myself with pycharm and navigating jupyter notebooks,I have never written a single line of computer code,4,Not sure,Yes,,I somewhat understand,I somewhat understand,I do not understand,1010087433.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,worried,-1.2,3.0
227,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-01-13 22:08:14 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,Excited,jupyter notebooks,I can write some code but just the basics,3,Not sure,Yes,Java,I completely understand,I somewhat understand,I completely understand,1009953757.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,excited,1.4,2.0
228,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-01-13 22:02:55 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",None,Yes,I am up-to-date,"I feel pretty good. I have coded for around 4 years in Python now, so it was a great chance to revisit basic materials and solidify my understanding of the course materials.",I was struggling with finding the lecture recordings. ,I consider myself an advanced coder,5 (Always),Yes,Yes,"Python,Matlab,Java,Javascript,HTML/CSS,Other",I completely understand,I completely understand,I completely understand,1010054646.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,i feel pretty good  i have coded for around 4 years in python now  so it was a great chance to revisit basic materials and solidify my understanding of the course materials ,8.2,3.0
229,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-01-13 22:02:47 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Coding along with the instructor on my device,None,Yes,I am up-to-date,Encouraged.,What are Float numbers versus integers.,I can write some code but just the basics,2,No,Yes,"Python,Matlab,Other",I completely understand,I somewhat understand,I completely understand,1009553626.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,encouraged ,1.5,3.0
230,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-13 22:01:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,Very nice and chill for now,None,I have never written a single line of computer code,4,Yes,Yes,Matlab,I completely understand,I completely understand,I completely understand,1010210521.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,very nice and chill for now,1.8,1.0
231,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320253, 320315, 320129","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-01-13 21:57:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,"I prefer the teaching style in another section(s),I prefer the room of the lectures in another section(s)",Following the lecture by looking at the content and listening to the instructor,LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,Nervous,Jupyter notebooks,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab,Java",I somewhat understand,I somewhat understand,I somewhat understand,1010011238.0,LEC0102,TUT0106,PRA0106,Mechanical,LEC0101,LEC0102,False,True,nervous,-1.1,4.0
232,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0108-20241","320149, 320276, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0108-20241",2024-01-13 21:54:25 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,I prefer the teaching style in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,Engaging,strings,I can write some code but just the basics,4,Yes,Haven't tried,"Python,Matlab,C/C++,Java",I completely understand,I somewhat understand,I completely understand,,,,,,LEC0101,False,False,False,engaging,1.4,1.0
233,"APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320246, 320307, 320129","APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-01-13 21:49:58 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",None,Yes,I am up-to-date,Introduction was nicely pased and the Jupiter notebook is helpful for beginners like me. ,Pycharm is a bit hard to navigate so maybe during tutorials I will ask the tutors to help with that.,I can write some code but just the basics,3,Yes,Yes,"Python,C/C++",I somewhat understand,I somewhat understand,I somewhat understand,1008854018.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,introduction was nicely pased and the jupiter notebook is helpful for beginners like me  ,5.2,3.0
