,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,midterm_review,function_return_check,while_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
206,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-02-04 00:28:11 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am up-to-date,good,while loops,Somewhat prepared,I completely understand,I somewhat understand,good,1010086871.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,good,1.9,3.0
207,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320285, 320239, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-02-04 00:27:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments for this course",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,No,I am starting to fall behind,Nervous,loops,Somewhat prepared,I somewhat understand,I somewhat understand,,1010356133.0,LEC0101,TUT0102,PRA0104,Civil,LEC0101,False,False,True,nervous,-1.1,3.0
208,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-02-04 00:20:35 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",,Yes,I am starting to fall behind,stressed for the test,debug function,Somewhat prepared,I completely understand,I somewhat understand,hello:),1010616647.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,stressed for the test,-1.4,3.0
209,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-04 00:20:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,enthusiastic,errors,Very prepared,I completely understand,I completely understand,I have no feedback as of this week.,1010410271.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,enthusiastic,2.2,1.0
210,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-04 00:06:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Pressured,,Somewhat prepared,I completely understand,I somewhat understand,"Honestly, I believe the lectures associated within this tutorial are the most well-organized out of each of the courses I'm currently taking.",1010242239.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,pressured,-0.9,3.0
211,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-02-03 23:58:04 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Nervous,"ASCII values, difference between if/else, if/elif, if/if",Somewhat prepared,I completely understand,I somewhat understand,,1009798998.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,nervous,-1.1,3.0
212,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-02-03 23:57:13 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was studying for a term test for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,Confident,print vs return ,Somewhat prepared,I completely understand,I completely understand,,1010066358.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,confident,2.2,3.0
213,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-03 23:54:53 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",4-8 hours,No,I am up-to-date,stressed,when to use return vs. print when writing functions,Somewhat prepared,I completely understand,I somewhat understand,,1010345208.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,stressed,-1.4,3.0
214,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241","320111, 320231, 320328","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241",2024-02-03 23:44:26 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Trying to solve the breakout problems,I was studying for a term test for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,good,,Very prepared,I completely understand,,,1009794064.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,3.0
215,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-02-03 23:40:47 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",The lectures are not an effective learning tool for me,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Okay,,Somewhat prepared,I completely understand,I completely understand,,1010147093.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,okay,0.9,2.0
216,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-02-03 23:32:57 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am),Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)","LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording","PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Focused,I am a little confused with while loops ,Somewhat prepared,I completely understand,I somewhat understand,I wanted to say that tutorials and practicals online are very helpful for  preparation for the midterm ,1008782783.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,LEC0103,True,focused,1.6,4.0
217,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-03 23:24:10 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Good,,Very prepared,I completely understand,I completely understand,No current feedback. ,1010142105.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,1.0
218,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241","320168, 320276, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241",2024-02-03 23:23:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0101\, Thursday\, 10 - 12 pm",4-8 hours,No,I am up-to-date,Midterm,,Somewhat prepared,I completely understand,I somewhat understand,,1010164475.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,midterm,0.0,3.0
219,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241","320111, 320328, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241",2024-02-03 23:21:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,Yes,I am up-to-date,Interesting,"standard out, return vs print",Somewhat prepared,I somewhat understand,I completely understand,,1010155298.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,interesting,1.7,3.0
220,"APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241","320307, 320246, 320129","APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241",2024-02-03 23:17:08 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",,I prefer the teaching style in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,Unsure,"String comparisons, Booleans",Somewhat prepared,I completely understand,I somewhat understand,,1009937909.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,LEC0103,True,unsure,-1.0,3.0
221,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0103-20241","320323, 320239, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0103-20241",2024-02-03 23:09:39 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,4-8 hours,Yes,I am up-to-date,acceptable,,Somewhat prepared,I somewhat understand,I completely understand,,1010410360.0,LEC0103,TUT0107,PRA0104,Industrial,False,False,LEC0103,True,acceptable,1.3,3.0
222,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320262, 320307, 320129","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-02-03 23:09:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Understanding lot better,,Somewhat prepared,I somewhat understand,I somewhat understand,,1008854018.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,LEC0102,False,True,understanding lot better,1.9,4.0
223,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320253, 320315, 320129","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-02-03 23:06:21 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,Yes,I am up-to-date,stressed,letter comparisons,Somewhat prepared,I completely understand,I completely understand,thank you :),1010029041.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,stressed,-1.4,3.0
224,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-02-03 23:03:25 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Stressed,All good!,Somewhat prepared,I completely understand,I somewhat understand,Thanks!,1009830462.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,stressed,-1.4,2.0
225,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-02-03 22:32:36 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was working on assignments for this course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments for this course,I was working on assignments and/or projects for another course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,Confident,,Somewhat prepared,I completely understand,I completely understand,I have none,1010154887.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,confident,2.2,3.0
226,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0104-20241","320129, 320246, 320299","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0104-20241",2024-02-03 22:22:25 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm)","I was studying for a term test for another course,I was working on assignments for this course",I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am starting to fall behind,good,,Somewhat prepared,I completely understand,I somewhat understand,,,,,,,LEC0101,LEC0102,False,False,good,1.9,2.0
227,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-02-03 22:19:15 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,,,Very prepared,I completely understand,I completely understand,,1010046781.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,nan,0.0,0.0
228,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-03 22:05:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am starting to fall behind,scared,loops and in built functions,Not prepared at all,I somewhat understand,I do not understand,none ,1009525453.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,scared,-1.9,1.0
229,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-02-03 22:04:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Scared ,Boolean,Somewhat prepared,I somewhat understand,I do not understand,,1010153888.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,scared ,0.0,3.0
230,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-02-03 21:56:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",The lecture times make them challenging to regularly attend,I prefer the scheduling of the lectures in another section(s),I was working on assignments for this course,"Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,loops,nothing for now,Somewhat prepared,I completely understand,I completely understand,no feedback for now,1010219363.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,LEC0102,False,True,loops,0.0,3.0
231,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320239, 320111, 320276","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-03 21:56:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I have fallen behind,mid,while,Not prepared at all,I somewhat understand,I somewhat understand,.,1010054600.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,mid,0.0,3.0
232,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-02-03 21:53:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course,I was working on assignments for this course","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,scared.,,Somewhat prepared,I somewhat understand,I somewhat understand,,1009884895.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,scared ,-1.9,3.0
233,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-02-03 21:40:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,I was studying for a term test for another course,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,This week seemed chaotic,while loops,Not prepared at all,I somewhat understand,I do not understand,Going over more examples in lecture would be very beneficial,1010118739.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,this week seemed chaotic,-2.2,2.0
234,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0101-20241","320111, 320239, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0101-20241",2024-02-03 21:30:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lecture room is not conducive to learning,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,chill,,Somewhat prepared,I completely understand,I completely understand,,1009986810.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,chill,0.0,3.0
