,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,feedback,pandas_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
200,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0103-20241","320323, 320239, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0103-20241",2024-04-07 02:57:15 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,fine,Class,,It is pretty easy to understand,1010410360.0,LEC0103,TUT0107,PRA0104,Industrial,False,False,LEC0103,True,fine,0.8,3.0
201,"APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241","320294, 320231, 320111","APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241",2024-04-07 02:44:11 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",4-8 hours,No,I am starting to fall behind,Tired ,"CVS files, Pandas",,I think it is a very useful aspect to know but it's very different from other aspects of the course and when we rush through the lecture due to time it’s easy to get lost. I think for the future these may need to be shorter lectures so we aren't rushing through the second half of the lecture. ,1010426772.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,tired ,0.0,3.0
202,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-04-07 02:37:53 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,,,,,1010147093.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,nan,0.0,2.0
203,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241","320129, 320307, 320246","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241",2024-04-07 02:11:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,Confusing,Pandas,Need more guidance for new concepts,Confusing,1010375540.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,LEC0102,False,True,confusing,-0.9,3.0
204,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241","320168, 320276, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241",2024-04-07 02:09:46 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,,,,,1010046781.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,nan,0.0,0.0
205,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-04-07 01:43:34 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,AH,"pandas, classes, files",,"seems kind of useless for the material we cover? in every example, I felt like I could code it in fewer lines and in simpler ways rather than using pandas; might just be because I have no practice or experience with them. ",1010069079.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,ah,0.0,3.0
206,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-04-07 01:42:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,Decent,"Pandas, iloc, loc",,It's a very practical topic to learn,1009985321.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,decent,0.0,3.0
207,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-04-07 01:25:15 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Good,-,-,"Definitely useful, but would have been a lot more effective if it was introduced a week earlier!",1009964086.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,good,1.9,3.0
208,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-04-07 01:11:41 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,ok,dictionaries,,We didn't have much time to fully understand it as we went through it very quickly but we covered the basics. ,1010515809.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,ok,1.4,3.0
209,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-04-07 01:04:46 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am starting to fall behind,Interested,pandas,I like doing the breakout problems in lecture,It's confusing to me because it's so different from everything else that we've learned,1010139707.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,interested,1.7,2.0
210,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-04-07 00:12:23 UTC,I did not attend any lectures this week,Other,Other,I was studying for a term test for this course,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0109 (Online)\, Tuesday\, 6 - 8 pm",2-4 hours,No,I am starting to fall behind,confused,"data frames

 ",fair,confusing,1009984304.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,confused,-1.3,0.0
211,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-04-07 00:00:42 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,No,I have fallen behind,Confused,DataFrame,More time for breakout sessions,Interesting and practical,1009876831.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,confused,-1.3,3.0
212,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320323, 320168, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-04-06 23:53:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Other,"Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",Less than 2 hour,Yes,I am up-to-date,Hard.,"tuple

 ",Hard,Interesting,1010004184.0,LEC0101,TUT0107,PRA0101,Chemical,LEC0101,False,False,True,hard ,-0.4,3.0
213,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-04-06 23:52:22 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Grrrrrreat,,Thansk!,All good!,1009830462.0,LEC0101,TUT0108,PRA0103,Mechanical,False,False,False,False,grrrrrreat,0.0,0.0
214,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241","320328, 320149, 320270","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241",2024-04-06 23:44:57 UTC,I did not attend any lectures this week,"I was working on assignments and/or projects for another course,The lecture room is not conducive to learning","I prefer the teaching style in another section(s),I prefer the room of the lectures in another section(s)",,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,bad,,,,1009896141.0,LEC0103,TUT0108,PRA0108,Materials,False,False,False,False,bad,-2.5,0.0
215,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320262, 320294, 320111","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-04-06 23:37:01 UTC,I did not attend any lectures this week,Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,great,none,I love how well structured this course is,interesting,1009875271.0,LEC0101,TUT0103,PRA0107,Mechanical,False,False,False,False,great,3.1,0.0
216,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-04-06 23:34:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,No,I am up-to-date,Good,Review time would be great!,More past final papers would be helpful for practice! ,Going slower would be more helpful ,1009969875.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,good,1.9,3.0
217,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-04-06 23:34:42 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0103 - Beck Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",2-4 hours,No,I am starting to fall behind,confuse,"file, pandas","The final is coming soon, I gonna study hard to have a decent grade for my final.",I acturally do not understand of this new material during the lecture. So I will work hard in my persenal time to study.,1009937534.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,confuse,-0.9,3.0
218,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241","320111, 320231, 320328","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241",2024-04-06 23:15:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities,I was working on assignments and/or projects for another course","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Panda,,,,1009819396.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,LEC0102,False,True,panda,0.0,4.0
219,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-04-06 23:14:20 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,.,.,.,.,1009840629.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True, ,,2.0
220,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0101-20241","320231, 320149, 320276","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0101-20241",2024-04-06 23:02:04 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was studying for a term test for this course,I was studying for a term test for another course,I was working on assignments for this course,The lecture room is not conducive to learning,Other","I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",I did not attend any tutorials this week,"LEC0103 - Beck Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording",I did not attend any lab/practical sessions this week,4-8 hours,No,I have fallen behind,neutral,,,,,,,,,LEC0101,False,False,False,neutral,0.0,1.0
221,"APS106H1-S-PRA0108-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320270, 320285, 320111","APS106H1-S-PRA0108-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-04-06 22:52:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",,,"Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I have fallen behind,horrible,class,sob,I dont get itt,1010275809.0,LEC0101,TUT0102,PRA0108,Chemical,LEC0101,False,False,True,horrible,-2.5,2.0
222,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-04-06 22:52:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,No,I am starting to fall behind,,,,,1010173170.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nan,0.0,3.0
223,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-04-06 22:49:49 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,Yes,I am up-to-date,Bittersweet ,,Fun course ,It’s interesting ,1010387216.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,bittersweet ,0.0,3.0
224,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0107-20241","320323, 320111, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0107-20241",2024-04-06 22:46:52 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,excited,"files, classes, csv module",,"i like pandas. they're soft and fluffy and friend-shaped.

But I don't see why we're spending time learning about a module we won't use until upper years (which we can learn in the course or online) instead of spending more time on the actual fundamentals of programming (theory). We could also instead cover other more basic Python functions like linked lists and so on. ",1009797926.0,LEC0101,TUT0107,PRA0107,Industrial,LEC0101,False,False,True,excited,1.4,3.0
225,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241","320129, 320307, 320246","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241",2024-04-06 22:38:58 UTC,I did not attend any lectures this week,"I was studying for a term test for another course,I was working on assignments for this course,I was working on assignments and/or projects for another course",Other,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,,,,,1010104744.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,False,False,nan,0.0,0.0
226,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0103-20241","320253, 320276, 320149","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0103-20241",2024-04-06 22:34:15 UTC,I did not attend any lectures this week,The lecture times make them challenging to regularly attend,I prefer the teaching style in another section(s),,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,8+,No,I have fallen behind,dieing,struggling with pain and lazy,"nervous, do not think can make it",awful do not understand,1008818996.0,LEC0103,TUT0101,PRA0106,Track-One,False,False,False,False,dieing,0.0,0.0
227,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-04-06 22:28:49 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",2-4 hours,No,I am up-to-date,great ,,,,1010086498.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,great ,0.0,3.0
228,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-04-06 22:22:31 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",I was working on assignments for this course,I prefer the scheduling of the lectures in another section(s),Coding along with the instructor on my device,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0103 - Beck Lecture Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Less than 2 hour,Yes,I am up-to-date,hard,"class

 ",no,no,1009253317.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,hard,-0.4,3.0
229,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-04-06 22:19:12 UTC,I did not attend any lectures this week,Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,behind ,no,no,none because i'm so behind i don't even know what to say but it's okay i'll pick it up,1010242934.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,behind ,0.0,0.0
230,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-04-06 22:13:58 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",The lectures are not an effective learning tool for me,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Ok,Panda,No,It’s hard,1010184408.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,ok,1.4,2.0
231,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-04-06 21:54:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,I prefer the room of the lectures in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",4-8 hours,No,I have fallen behind,ok,pandas,none,its cool,1010126123.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,ok,1.4,1.0
